Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,862.700012,869.000000,849.000000,851.599976,825.467285,206148
2019-06-25,850.650024,864.950012,847.500000,858.099976,831.767822,245651
2019-06-26,858.000000,872.000000,857.950012,866.500000,839.910095,319731
2019-06-27,867.000000,878.200012,866.000000,875.900024,849.021667,283884
2019-06-28,876.400024,892.500000,875.000000,884.900024,857.745483,511883
2019-07-01,890.099976,900.900024,886.400024,898.900024,871.315857,335774
2019-07-02,903.849976,924.950012,901.000000,920.799988,892.543823,1128675
2019-07-03,924.950012,924.950012,913.000000,921.250000,892.979980,447980
2019-07-04,921.000000,922.099976,904.200012,914.349976,886.291748,297118
2019-07-05,918.799988,919.349976,885.750000,889.849976,862.543518,369947
2019-07-08,866.099976,869.900024,848.500000,856.900024,843.400024,479443
2019-07-09,859.000000,864.900024,844.049988,853.900024,853.900024,230084
2019-07-10,850.000000,865.549988,846.000000,849.650024,849.650024,243879
2019-07-11,854.000000,855.950012,835.500000,843.049988,843.049988,292683
2019-07-12,843.049988,852.799988,841.200012,849.500000,849.500000,271207
2019-07-15,855.000000,857.000000,808.849976,816.500000,816.500000,1058298
2019-07-16,815.000000,823.000000,803.900024,814.700012,814.700012,791908
2019-07-17,811.099976,811.400024,735.799988,742.450012,742.450012,9825204
2019-07-18,737.500000,749.950012,722.349976,732.049988,732.049988,2553544
2019-07-19,733.000000,750.000000,696.200012,701.450012,701.450012,2501071
2019-07-22,700.000000,707.650024,676.000000,679.750000,679.750000,1254828
2019-07-23,680.799988,687.950012,669.000000,672.200012,672.200012,1246592
2019-07-24,676.000000,681.000000,654.650024,657.299988,657.299988,955525
2019-07-25,655.000000,666.799988,643.549988,653.799988,653.799988,1634604
2019-07-26,653.799988,660.950012,642.650024,645.549988,645.549988,799250
2019-07-29,646.799988,651.049988,635.099976,638.450012,638.450012,627264
2019-07-30,639.000000,644.599976,616.400024,619.200012,619.200012,774765
2019-07-31,614.900024,640.000000,608.500000,636.849976,636.849976,1004613
2019-08-01,634.000000,638.500000,609.000000,615.000000,615.000000,893290
2019-08-02,610.500000,626.000000,602.200012,622.049988,622.049988,920373
2019-08-05,615.000000,618.299988,602.099976,604.500000,604.500000,728747
2019-08-06,602.799988,629.900024,602.000000,626.500000,626.500000,890129
2019-08-07,628.299988,639.750000,615.150024,619.000000,619.000000,1020853
2019-08-08,620.400024,634.900024,617.000000,631.450012,631.450012,627739
2019-08-09,634.299988,643.750000,625.299988,631.500000,631.500000,555417
2019-08-13,631.549988,633.000000,606.299988,610.849976,610.849976,819803
2019-08-14,611.900024,618.349976,592.250000,612.849976,612.849976,746224
2019-08-16,613.599976,632.049988,601.250000,623.450012,623.450012,887759
2019-08-19,626.200012,641.000000,624.500000,629.500000,629.500000,586040
2019-08-20,629.799988,637.700012,615.250000,619.450012,619.450012,586008
2019-08-21,619.950012,638.000000,619.450012,633.549988,633.549988,973942
2019-08-22,634.200012,639.099976,602.599976,606.750000,606.750000,1031865
2019-08-23,607.700012,652.950012,607.000000,649.250000,649.250000,1744663
2019-08-26,660.000000,663.000000,639.450012,647.200012,647.200012,1279863
2019-08-27,647.900024,666.500000,646.099976,651.750000,651.750000,962086
2019-08-28,655.000000,669.000000,642.450012,648.599976,648.599976,1157017
2019-08-29,649.900024,650.000000,626.049988,628.799988,628.799988,810449
2019-08-30,633.000000,635.349976,621.400024,632.250000,632.250000,569664
2019-09-03,632.000000,644.000000,625.099976,627.450012,627.450012,607064
2019-09-04,631.349976,635.000000,606.000000,610.250000,610.250000,1026040
2019-09-05,611.250000,621.950012,611.250000,618.700012,618.700012,570377
2019-09-06,619.000000,638.000000,619.000000,629.700012,629.700012,809039
2019-09-09,631.000000,640.900024,629.750000,638.150024,638.150024,484397
2019-09-11,639.400024,652.450012,636.650024,644.900024,644.900024,480936
2019-09-12,646.000000,657.200012,642.099976,645.500000,645.500000,382518
2019-09-13,648.000000,649.500000,634.099976,647.400024,647.400024,326196
2019-09-16,642.099976,664.700012,640.049988,661.500000,661.500000,979764
2019-09-17,664.549988,664.549988,630.250000,634.450012,634.450012,684294
2019-09-18,637.250000,651.900024,636.099976,638.299988,638.299988,621594
2019-09-19,639.700012,640.400024,620.200012,626.500000,626.500000,426455
2019-09-20,629.400024,652.000000,617.200012,644.200012,644.200012,945969
2019-09-23,651.000000,657.849976,631.000000,649.200012,649.200012,727766
2019-09-24,650.000000,700.900024,645.049988,685.500000,685.500000,3280239
2019-09-25,681.000000,700.599976,660.000000,667.400024,667.400024,2089065
2019-09-26,670.349976,688.000000,670.349976,685.700012,685.700012,1045513
2019-09-27,686.000000,701.200012,681.000000,682.650024,682.650024,1268379
2019-09-30,685.000000,687.750000,671.450012,677.250000,677.250000,671679
2019-10-01,681.000000,684.900024,664.299988,675.049988,675.049988,679666
2019-10-03,674.500000,692.299988,672.000000,687.299988,687.299988,760953
2019-10-04,692.000000,695.799988,681.700012,682.599976,682.599976,564521
2019-10-07,685.700012,691.250000,677.000000,680.250000,680.250000,407029
2019-10-09,682.700012,682.700012,621.000000,637.750000,637.750000,2843285
2019-10-10,630.750000,632.799988,615.000000,618.849976,618.849976,1137992
2019-10-11,615.000000,635.900024,610.000000,632.299988,632.299988,961678
2019-10-14,636.250000,657.000000,628.599976,646.400024,646.400024,1031550
2019-10-15,649.650024,653.799988,640.000000,650.950012,650.950012,441562
2019-10-16,653.900024,676.349976,648.750000,671.900024,671.900024,1224257
2019-10-17,675.900024,725.000000,666.299988,708.099976,708.099976,1261063
2019-10-18,715.200012,721.950012,702.549988,708.299988,708.299988,1266825
2019-10-22,692.000000,705.900024,675.200012,702.299988,702.299988,1669101
2019-10-23,700.000000,725.549988,700.000000,716.099976,716.099976,1824687
2019-10-24,716.400024,762.599976,716.400024,756.500000,756.500000,3185222
2019-10-25,757.900024,766.000000,747.549988,761.500000,761.500000,1356741
2019-10-27,null,null,null,null,null,null
2019-10-29,791.000000,817.700012,781.750000,802.700012,802.700012,1305598
2019-10-30,803.900024,827.700012,801.000000,823.150024,823.150024,1248559
2019-10-31,827.000000,831.000000,815.849976,818.950012,818.950012,896680
2019-11-01,818.500000,836.700012,811.799988,829.500000,829.500000,817934
2019-11-04,830.000000,839.000000,823.400024,828.200012,828.200012,450327
2019-11-05,828.000000,831.900024,807.099976,809.700012,809.700012,451242
2019-11-06,810.000000,823.299988,807.599976,810.200012,810.200012,426033
2019-11-07,813.000000,823.549988,801.000000,815.150024,815.150024,553647
2019-11-08,819.250000,841.400024,807.150024,811.000000,811.000000,1101014
2019-11-11,812.000000,815.299988,802.200012,807.400024,807.400024,446368
2019-11-13,808.000000,813.000000,785.000000,791.900024,791.900024,628471
2019-11-14,796.000000,797.150024,783.900024,791.700012,791.700012,406715
2019-11-15,795.650024,807.950012,786.200012,792.450012,792.450012,396566
2019-11-18,792.500000,799.400024,782.450012,790.450012,790.450012,281014
2019-11-19,791.799988,831.299988,791.799988,809.700012,809.700012,2045547
2019-11-20,814.000000,816.000000,796.049988,813.049988,813.049988,650086
2019-11-21,815.900024,822.750000,795.400024,799.849976,799.849976,492751
2019-11-22,803.400024,803.400024,783.000000,788.299988,788.299988,445776
2019-11-25,788.299988,803.500000,785.000000,798.299988,798.299988,392635
2019-11-26,800.000000,825.799988,791.700012,796.750000,796.750000,1092836
2019-11-27,797.500000,808.000000,790.150024,798.250000,798.250000,568010
2019-11-28,800.849976,805.900024,788.700012,799.349976,799.349976,446686
2019-11-29,801.000000,816.500000,799.150024,806.950012,806.950012,535459
2019-12-02,810.799988,811.000000,786.000000,788.450012,788.450012,416819
2019-12-03,793.000000,795.150024,778.000000,788.250000,788.250000,500760
2019-12-04,787.799988,810.900024,782.200012,806.750000,806.750000,728523
2019-12-05,809.000000,868.299988,808.049988,862.400024,862.400024,5130968
2019-12-06,862.450012,869.799988,843.750000,849.950012,849.950012,1856349
2019-12-09,850.799988,879.500000,847.250000,856.950012,856.950012,2256619
2019-12-10,855.650024,864.799988,831.599976,839.349976,839.349976,1206219
2019-12-11,841.900024,848.799988,817.500000,828.900024,828.900024,999603
2019-12-12,832.250000,854.900024,826.349976,848.049988,848.049988,995626
2019-12-13,853.349976,879.750000,853.000000,858.650024,858.650024,2208206
2019-12-16,858.500000,864.150024,847.200012,853.049988,853.049988,942886
2019-12-17,855.750000,870.200012,853.549988,856.150024,856.150024,996252
2019-12-18,858.500000,899.000000,852.799988,868.349976,868.349976,4833180
2019-12-19,870.000000,879.799988,850.549988,857.099976,857.099976,1506612
2019-12-20,860.000000,869.500000,854.000000,858.500000,858.500000,959236
2019-12-23,858.500000,871.400024,852.250000,855.650024,855.650024,821369
2019-12-24,856.799988,864.400024,836.549988,842.000000,842.000000,1032459
2019-12-26,850.000000,851.000000,810.549988,814.950012,814.950012,1764020
2019-12-27,819.000000,829.000000,814.500000,826.049988,826.049988,841583
2019-12-30,826.900024,836.450012,825.000000,832.849976,832.849976,497365
2019-12-31,831.000000,833.799988,821.200012,825.950012,825.950012,330997
2020-01-01,827.900024,831.400024,821.000000,827.849976,827.849976,263807
2020-01-02,829.799988,835.799988,823.299988,828.250000,828.250000,294367
2020-01-03,828.000000,842.000000,821.549988,838.099976,838.099976,666116
2020-01-06,835.000000,835.000000,816.549988,823.400024,823.400024,301418
2020-01-07,830.000000,832.799988,821.750000,826.849976,826.849976,224550
2020-01-08,820.000000,826.049988,812.599976,821.349976,821.349976,222281
